Product_name    Product_category    Product_price   Product_coupon
Hold	Sports	$824.1	6.15% OFF
Best	Clothing	$768.52	14.35% OFF
Condition	Clothing	$137.79	5.95% OFF
Authority	Beauty	$36.14	20.79% OFF
Black	Clothing	$446.76	6.69% OFF
Debate	Books	$443.68	24.53% OFF
Indeed	Sports	$323.54	17.37% OFF
Appear	Electronics	$227.99	10.92% OFF
Three	Clothing	$599.04	8.78% OFF
Car	Books	$262.86	18.93% OFF
Recently	Books	$930.04	27.79% OFF
Hard	Electronics	$809.27	16.65% OFF
Back	Books	$587.51	12.49% OFF
Under	Electronics	$235.87	12.98% OFF
No	Beauty	$178.33	29.2% OFF
Ago	Electronics	$935.55	8.14% OFF
Benefit	Electronics	$559.95	24.88% OFF
Performance	Electronics	$795.81	6.8% OFF
Rather	Beauty	$436.83	29.17% OFF
Part	Clothing	$645.93	18.28% OFF
Security	Electronics	$910.85	10.61% OFF
Often	Clothing	$19.65	20.95% OFF
Gas	Clothing	$509.8	9.59% OFF
Current	Books	$594.24	19.76% OFF
Issue	Electronics	$180.51	28.85% OFF
Move	Clothing	$827.33	21.69% OFF
Dinner	Clothing	$336.05	17.94% OFF
Here	Beauty	$489.42	5.37% OFF
School	Sports	$107.88	6.19% OFF
Pretty	Electronics	$794.72	14.35% OFF
Easy	Beauty	$509.0	26.18% OFF
Truth	Electronics	$269.21	19.98% OFF
Democratic	Home	$702.28	18.26% OFF
Run	Beauty	$422.59	13.72% OFF
Process	Beauty	$202.02	29.67% OFF
Happy	Electronics	$56.21	19.42% OFF
Manage	Sports	$856.33	15.55% OFF
Then	Beauty	$217.39	24.68% OFF
Prove	Books	$609.44	18.78% OFF
Modern	Clothing	$455.13	6.73% OFF
A	Home	$936.9	16.99% OFF
More	Beauty	$193.92	7.72% OFF
Effect	Books	$919.25	16.21% OFF
Field	Electronics	$482.48	21.24% OFF
Mrs	Electronics	$341.48	19.47% OFF
Politics	Books	$925.38	19.92% OFF
Something	Home	$233.95	11.93% OFF
Many	Electronics	$829.42	15.69% OFF
Floor	Clothing	$20.37	6.63% OFF
Sit	Books	$912.67	25.34% OFF
